genre_id,name,full_path,year_emerged,description,artists
10,Rock,10: Rock,null,,null
10.01,Early Rock 'N' Roll,10.01: Rock -> Early Rock 'N' Roll,null,"Rock ‘n’ Roll was musically speaking not a great step forward; its origins in Boogie Woogie and R&B were obvious. It was mainly a racial thing: young, attractive, white singers bringing black music into the living rooms of white people (especially girls), and turning heads by shaking their pelvis and/or standing on pianos. At the same time, Hillbilly Country musicians became influenced by early Country Blues and created uptempo Country with a strong beat, slapped upright bass, and stuttering vocals: Rockabilly. Both genres, as well as some Country music, originated on the famous Sun Records label in Memphis. Rock ‘n’ Roll often overlaps with Rockabilly’s simple, uptempo blues with three chords, a boogie back beat, and the holy instrument trinity of rock: drums, guitar and bass. As one can see, early Rock ‘n’ Roll was difficult to separate from early Rhythm ‘n’ Blues. However, the often overlooked effect of amphetamine (used heavily by many Rock ‘n’ Roll stars) changed the sound into the sociocultural revolution that it was: with their trembling voices, exuberant behavior, unbridled energy, and sexual innuendo, they introduced something new, something unheard of and “bad to the bone”. The later “mod” subculture of the fifties (sometimes mistaken for a music genre), were also very drawn into a similar world of bikes, speed, and rock ‘n’ roll. White teens went crazy around the world and soon Rock ‘n’ Roll became so popular that the term was used for anything rebellious, and often Rock music in general.
","[""Bill Haley"",""Buddy Holly"",""Carl Perkins"",""Charlie Feathers"",""Chuck Berry"",""Dittys"",""Doug Kershaw / Fats Domino"",""Eddie Cochran"",""Elvis Presley"",""Fats Domino"",""Frankie Ford"",""Jackie Brenston"",""Jerry Lee Lewis"",""Jimmy Soul"",""Lenny Capello & Dots"",""Little Richard"",""Mickey & Sylvia"",""Sammy Masters"",""The Everly Brothers"",""Wanda Jackson""]"
10.02,Golden Age/Classic Rock,10.02: Rock -> Golden Age/Classic Rock,null,,null
10.02.01,Beat/British Invasion,10.02.01: Rock -> Golden Age/Classic Rock -> Beat/British Invasion,1963,"Where the early London Rock scene was more concerned with Blues, the city of Liverpool took interest in cleverly produced music (jukebox music) such as Motown. Because Liverpool was a large harbor city frequented by ocean liners, the local music scene was more connected to American R&B than most British towns. After a while, local vocal groups (young eager Rock bands) started creating a new type of Rock with a strong backbeat rhythm and polyphonic vocals: a mix of Motown & R’n’R. As a result, their songs were sometimes soft and poppy with strings and obvious Soul influences, and at other times very uptempo and swinging.

Mersey Beat (called after the river Mersey in Liverpool) or simply ‘Beat’ was the great second revolution of Rock. Most noteworthy are The Beatles, who won the hearts of every teen in the UK and America, and who started out as a seemingly upright boysband but later revolutionized sound recording. Inspired by their huge success - a true mania - many British Mersey Beat bands took the journey across the ocean to invade America and become Rock stars, though few actually succeeded. This phenomenon and the genre itself, is since known as the British Invasion (though British Blues Rock was also a part of this invasion).

A particular subcultural phenomenon closely related to Mersey Beat, is the British Mod scene of the fifties and the sixties. Young rebellious biker boys were united in their stance against conformist Rock and preferred a blend of sped up Rock ‘n’ Roll and Motown. This eventually led to Beat Music (aka Merseybeat) and later to the New Romantics and even Britpop. With their speakers always on max volume and a healthy diet of pep pills, they were the vanguard of a new era of Rock – a Golden Age of guitars and soundwaves.
","[""Billy J. Kramer & the Dakotas"",""Gerry and the Pacemakers"",""Herman's Hermits"",""John Lennon"",""Manfred Mann"",""Small Faces"",""Squeeze"",""The Animals"",""The Beatles"",""The Kinks"",""The Searchers"",""The Zombies""]"
10.02.02,Folk Rock,10.02.02: Rock -> Golden Age/Classic Rock -> Folk Rock,1965,"The British Invasion casted a shockwave throughout music industry and was practically impossible to ignore in the UK. Even the secluded folk communities took an interest in the strong backbeat and catchy guitar hooks. Pioneering band the Byrds initiated this evolution, starting out as a pure Folk band but dragging along many others in a real Folk Rock hype. By signing up with record labels (and thus going the “commercial” path) the (protest) messages and reflective stories of Folk Rock artists could reach a much larger audience than before. An appealing thought for artists who believed in the importance of story over sound. This came at the expense of experimentation: the songs were pretty conventional and simple. On top of that, an idealistic but too naïve world view didn’t help either to win over a large amount of fans who weren’t keen on this new direction towards Rock.

Folk Rock differs from the previous Folk Revivals in the use of electric, 12-string guitars and vocal harmonies in bands. There is a significant amount of overlap with Country Rock, as both genres are crossovers from acoustic guitar genres into electric guitar Rock.
","[""Adam Torres"",""Alan Jackson & Jimmy Buffett"",""America"",""Billy Bragg & Wilco"",""Bob Dylan"",""Bob Dylan & The Band"",""Crosby, Stills, Nash & Young"",""Crosby, Stills, Nash, & Young"",""Donovan"",""Edie Brickell"",""Fairport Convention"",""Jim Croce"",""Jimmy Buffett"",""John Francis Flynn"",""John Prine"",""John Prine/Iris Dement"",""John Stewart"",""Joni Mitchell"",""Lankum"",""Melanie Safka"",""Myriam Gendron"",""Neil Young & Crazy Horse"",""Neil Young With The Stray Gators"",""Off Kilter"",""Oisin Leech"",""Richard Dawson "",""Ry Cooder"",""Simon & Garfunkel"",""The Byrds"",""The Dubliners"",""The Lovin' Spoonful"",""The Mamas & The Papas"",""The Pogues"",""The Turtles"",""Van Morrison"",""Yorkston, Thorne, Khan""]"
10.02.03,British Blues & Blues Rock,10.02.03: Rock -> Golden Age/Classic Rock -> British Blues & Blues Rock,1964,"Parallel to the British Rock Invasion, the British Blues Invasion took hold, which was sometimes hard to separate from the other one. Yet British Blues aka British R&B started out in London instead of Liverpool and was not influenced by Merseybeat. As Blues became harder, faster and louder, and Rock started to take an interest in Jazz (Acid Rock), the two grew from quite different paths into a powerful combination which was performed by a huge amount of artists during the sixties and seventies. There is a large area of overlapping between Blues Rock and Acid Rock and often the same artists are mentioned for both genres. Blues Rock artists usually sang anti-establishment lyrics, paving the road for later Metal.

Smaller subgenres were eventually formed as well, such as the Piano Blues based Boogie Rock. Blues Rock stayed true to the early three-chord Chicago Blues, but added more guitar improvisation (solos), distortion and psychedelic effects. Especially Chicago legends Muddy Waters, Howlin’ Wolf, and Robert Johnson were a huge influence on this new wave of Blues artists. A remarkable fact, considering that all original Blues Rock artists are white. And thus American (black) Blues was injected into the world of British (white) Rock.
","[""Alexis Kormer"",""Bonnie Raitt"",""Canned Heat"",""Carlos Santana"",""Chicken Shack"",""Cream"",""Derek & thee Dominos"",""Eric Clapton"",""Free"",""George Thorogood & the Destroyers"",""Janis Joplin"",""Joe Cocker"",""John Mayall & The Bluesbreakers"",""Johnny Winter"",""Juicy Lucy"",""Keith Richards"",""Paul Butterfield Blues Band"",""Peter Green"",""Robert Plant"",""Savoy Brown"",""Spencer Davis Group"",""Steve Miller Band"",""Stevie Ray Vaughan & Double Trouble"",""Ten Years After"",""The Pretty Things"",""The Robert Cray Band"",""The Rolling Stones"",""The Taste"",""Uncle Mal""]"
10.02.04,Psychodelic Rock,10.02.04: Rock -> Golden Age/Classic Rock -> Psychodelic Rock,1965,"The sixties marked a new age of hope, reconstruction, love and peace after the aftershocks of World War II. A huge spiritual hippie subculture flourished in many places, especially those with a large student population. The principal among them was the famous Height Ashbury district in San Francisco, where accordingly people wore “flowers in their hair”. These young hippies were inspired by eastern cultures and music (particularly the works of Indian Raga musician Ravi Shankar), the structure and experimental nature of Free Jazz, and (of course) countless psychedelic drugs. Especially LSD with its vivid and colorful hallucinations slowly conquered their daily lives. LSD (or acid) was strongly promoted by alternative psychologists and epistemological gurus like Timothy Leary and Aldous Huxley.

All these different inspirations were set loose upon the popular college music of the time: Folk Revival, Mersey Beat, and mostly Garage Rock, to create freeform, exotic Rock music with psychedelic sound effects. The stereotypical warm and fuzzy sound of Hammond organs is no stranger to Psychedelic (or Psy) Rock as well. Because of its highly experimental nature and drug-and-peace-friendly appeal, many subgenres saw the light and were conjoined under the tag “Psychedelia”. Multiple revivals in the coming decades, such as the Paisley Underground and Neo-Psychedelia, are proof of the vastness and popularity of this genre. Within the large treasure chest of Psychedelia, countless rare gems can be found, made by a flood of unknown artists, sometimes even impossible to find on the internet.

The power of the countercultural movement and Psychedelic Rock was strongly felt in a large social gathering in 1967, known as the (first) “Summer of Love”, but the height came in the form of Woodstock in 1969: one of the largest festivals of all time and a symbol of connection in mind and spirit between all countercultural attendees, but also a turning point for Rock music in general. The hippie tidal wave became too big, and finally broke.
","[""Captain Beefheart & His Magic Band"",""Country Joe & the Fish"",""DOOM GONG"",""Desert Mountain Tribe"",""Foxygen"",""Goat"",""Grateful Dead"",""Iron Butterfly"",""Janis Joplin"",""Jefferson Airplane"",""Jimi Hendrix"",""Jimi Hendrix Experience"",""Kali Ma and the Garland of Arms"",""Khruangbin"",""King Gizzard & The Lizard Wizard"",""Mdou Moctar"",""Psychedelic Porn Crumpets"",""Question Mark & the Mysterians"",""Santana"",""Strawberry Alam Click"",""Tash Sultana"",""The Crazy World of Arthur Brown"",""The Doors"",""The Magic Mushrooms"",""Unknown Mortal Orchestra"",""Wand"",""Yardbirds""]"
10.02.05,Hard Rock,10.02.05: Rock -> Golden Age/Classic Rock -> Hard Rock,1968,"In the UK, many music genres have been restyled into a rougher, “British” version of themselves. The same happened with Blues Rock in the late sixties, which got restyled into Hard Rock. This happened simultaneously with the shutdown of UK’s pirate radios of the sixties. Subsidized radio stations after this closure preferred a palette of Pop Rock and Soft Rock and created a hiatus for heavier, more alternative music. Hard Rock filled that gap with a louder and faster kind of Blues Rock / Acid Rock and is therefore the missing link between these genres and Heavy Metal. The genre quickly caught on with the masses. After all, it was the first “heavy” music genre to exist or certainly the heaviest at this time.

Hard Rock uses the same instrument set-up as basic Classic Rock but with more distortion on the guitars and simple song structures. Hard Rock also introduced one of the most quintessential Rock elements: the “Riff”. Riffs are short unique melodies, often repetitive and a recognizable trademark of many Rock anthems.

Bursting with testosterone, Hard Rock is a macho thing, regardless if you’re a biker, leather-clad Rock star, or simply part of the rebel outlaw-subculture. The lyrical content often dealt with these lifestyles, talking about dark, criminal or macho topics. A new direction of music was born, so large and prominent that it’s hard to say which Metal, Industrial or modern Rock genre wasn’t influenced by it.
","[""AC/DC"",""Aeorsmith"",""Aerosmith"",""Aerosmith & Run DMC"",""Black Mountain"",""Chris Allen Hess"",""Free"",""George Thorogood"",""Humble Pie"",""Joe Walsh"",""Kiss"",""Led Zeppelin"",""MoonKill"",""Pat Benatar"",""Ram Jam"",""Research Turtles"",""Scorpions"",""Steppenwolf"",""Sweethead"",""Ted Nugent"",""The Answer"",""The Birthday Kiss"",""The Cult"",""The Kissaway Trail"",""The Who"",""Thin Lizzy"",""Trouble"",""Van Halen"",""X"",""Zebra""]"
10.02.06,"Progressive Rock, Art Rock, & Symphonic Rock","10.02.06: Rock -> Golden Age/Classic Rock -> Progressive Rock, Art Rock, & Symphonic Rock",1969,"The difference between Art Rock and Symphonic Rock is pretty straightforward (more ‘artsy’ versus more classical elements), but their adjectives can be applied to Progressive Rock as well. Though technically different, we will treat these three genres as one and the same for the sake of conciseness.

By the mid sixties the new 33rpm long-play records had pushed away the older 78rpm records, allowing for more playtime on one record. Thus shifted the focus from hit singles to elaborate concept albums, in which also longer songs were possible. Longer songs meant more opportunity to experiment with passages, structure and song progression (hence the genre name). The (modest) freeform and crossover of Acid Rock inspired some “progressive artists” to experiment as well, but more towards classical music than world music. Softer, longer, and intricate songs were the result, with lots of tempo changes and special instruments (like a mellotron). It was contemplative, difficult to write music and not really meant for live performances, but to be mastered to perfection on vinyl as the Holy Grail for the intellectual audiophile. Because during the sixties, another key event in music history occurred that explains Prog Rock’s appeal: the appearance of stereo headphones and hi-fidelity speakers and home amplifiers. Stereo becomes the norm instead of mono and music listening turns into an uncanny sensation through technology that still delivers excellent sound quality by today’s standards.

Although numerous artists jumped on the bandwagon, especially in Italy, France and Germany, only few attained public fame. In the late seventies and early eighties, an emotional Prog(ressive) Revival aka Neo-Prog (with the band Marillion as principal exponent) further nurtured the undying interest of selective fans. The most important, experimental and peculiar Prog Rock subgenre is probably “Zeuhl”, that uses Opera and synth influences with chaotic percussion to create a fantasy-loaded dream world where anything is possible.
","[""ABBA"",""Chicago"",""EOB"",""Emerson Lake & Palmer"",""Jethro Tull"",""King Crimson"",""Magma"",""Marillion"",""Moody Blues"",""Muse"",""Nusrat Fateh Ali Khan & Peter Gabriel"",""Peter Gabriel"",""Pink Floyd"",""Procul Harum"",""Ruins"",""Rush"",""Sting"",""Thee Silver Mt. Zion Memorial Orchestra"",""YAMANTAKA // SONIC TITAN"",""Yamantaka // Sonic Titan"",""Yes""]"
10.02.07,Krautrock,10.02.07: Rock -> Golden Age/Classic Rock -> Krautrock,1970,"In the period ensuing World War II, German culture and especially music had been looking for a new identity. Determined to create the most original, innovative and unique music ever invented, a handful of German bands got to work, drawing influences from almost equally experimental Progressive Rock groups. When the first commercial synthesizers were released, they were the vanguard to exploit them in any way imaginable and thus releasing electronic music onto the masses. Typically German, the result was Prog Rock, but with electronic influences and based on a repetitive and mechanical sound called “Motorik”. Motorik gave Krautrock a sterile sound due to a complete absence of acoustic elements. By using this motorik, Krautrock introduced a slow song progression reminiscent of Minimalism and avant-garde Downtempo, instead of traditional Rock structures and solos. Influences from Psychedelia were also welcomed by German bands, with which they shared a love for experimentation. Krautrock is actually a derogatory term by the British Press. In Germany, Krautrock’s lengthy “Electro-Psy-Prog-Rock” songs were more appropriately known at the time as Cosmic (Kosmischen) Rock. With their mythological and cryptic band names, Krautrock bands formed the perfect prelude for Space Rock, which finally evolved into Stoner Rock.

One band however, chose a far more radical path than others by abandoning all Rock influences. Kraftwerk made the first completely electronic music that had recognizable structure, melody, and bass. With Kraftwerk as arguably the most revolutionary popular music artist of all time, Krautrock is one of the most influential genres, bridging the gap between Rock and Dance.
","[""Amon Duul II"",""Ash Ra Tempel"",""Can"",""Cluster"",""Cosmic Jokers"",""Faust"",""Guru guru"",""Kraftwerk"",""Neuf"",""Popol Vuh""]"
